School Year,School District,BEDS Code,School Name,Local School Code,School Type,Part B,Lowest Grade,Highest Grade,Does this school serve its full planned grade span? (Y/N),"If no, is this school opening this school year? (Y/N)",Is the school scheduled to close? (Y/N),"If so, what year?",K-12 Enrollment,Pre-K Enrollment,Preschool Special Ed Enrollment,K-12 FRPL Count,K-12 ELL Count,K-12 SWD Count,Classroom Teachers w/ 0-3 Years Experience,Classroom Teachers w/ More than 3 Years Experience,Paraprofessional Classroom Staff,Principals & Other Admin Staff,Pupil Support Services Staff, All Remaining Staff , Total Staff , Part C , Classroom Teachers , All Other Salaries , Employee Benefits , BOCES Services , All Other , Total Allocation by Object , Grades K-12 , Pre-K , Grades K- 12 , Preschool , School Administration , Instructional Media , Pupil Support Services , Total Allocation by Purpose , State & Local Funding , Federal Funding , Total Funding Source by School , State & Local Funding per Pupil , Federal Funding per Pupil , Central District Costs , Total School Allocation w/ Central District Costs , Total School Funding per Pupil , Part D , Does this school offer a Pre-K program? (Y/N) , Does this school offer student/family support or community schools services? (Y/N) , 4-Year-Old Full-Day , 4-Year-Old Half-Day , 3-Year-Old Full-Day , 3-Year-Old Half-Day , Total Pre-K Enrollment , State Grants , Other State & Local Funding , Federal Funding  , Total Pre-K Spending , Community Schools Site Coordinator (FTE Basis) , Enriched Academic Services ," Health, Mental Health/Counseling, Dental Care ", Nutrition Services , Legal Services , After-School Programs/Extended Day Programs , All Other  , Total Community Schools Spending , Foundation Aid Community Schools Set-Aside , Other State & Local Funding  , Federal Funding   , Part E ,Local Formula Allocation, Allocation If Local Formula Fully Funded ,Difference,% Funded, Total Funding (See Part C) ,Local Formula as % of Total Funding, Other Funding 
2017-18,New York City,310400010096,P.S. 096 Joseph Lanzetta,M096,K-8 School,Part B,K,8,Yes,,No,,383,13,1,360,81,122,12.0,32.0,8.6,2.0,3.4,4.0,62.0,Part C," 36,37,149.00 "," 14,00,720.00 "," 30,67,331.77 ", -   ," 61,924.00 "," 81,67,124.77 "," 45,79,921.56 "," 4,65,524.07 "," 25,88,670.16 "," 18,620.96 "," 4,65,938.89 "," 2,386.00 "," 46,063.13 "," 81,67,124.77 "," 75,31,025.77 "," 6,36,099.00 "," 81,67,124.77 "," 20,464.74 "," 1,728.53 "," 24,56,031.84 "," 1,06,23,156.61 "," 28,867.27 ", Part D ,Yes,Yes, 13.00 , -   , 12.00 , - , 25 ," 1,10,000 "," 3,55,524 ", -   ," 4,65,524.07 ", 1.0 ," 6,26,232.28 "," 1,54,022.80 ", -   , -   ," 2,00,114.00 "," 1,20,068.40 "," 11,00,437.48 "," 5,47,320.00 "," 5,53,117.48 ", -   , Part E ,"48,79,428.00 "," 48,79,428.00 ",0.00 ,100.0000%," 81,67,124.77 ",59.7447%," 32,87,696.77 "
2017-18,New York City,310400010102,P.S. 102 Jacques Cartier,M102,Elementary School,Part B,K,5,Yes,,No,,292,19,7,232,34,92,10.0,22.0,15.8,3.0,3.9,3.0,57.7,Part C," 26,93,713.00 "," 17,42,669.00 "," 27,01,113.40 ", -   ," 1,27,408.00 "," 72,64,903.40 "," 30,36,284.98 "," 8,69,321.73 "," 25,50,041.97 "," 80,867.14 "," 6,69,874.13 "," 1,819.00 "," 56,694.44 "," 72,64,903.40 "," 68,14,005.40 "," 4,50,898.00 "," 72,64,903.40 "," 19,413.12 "," 1,284.61 "," 23,42,573.85 "," 96,07,477.25 "," 27,371.73 ", Part D ,Yes,No, 30.00 , -   , 13.00 , - , 43 ," 1,60,000 "," 7,09,322 ", -   ," 8,69,321.73 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,"35,88,142.00 "," 37,83,327.00 ","(1,95,185.00)",94.8409%," 72,64,903.40 ",49.3901%," 36,76,761.40 "
2017-18,New York City,310400010108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,M108,K-8 School,Part B,K,8,Yes,,No,,439,13,0,392,41,145,7.0,36.0,13.3,2.0,7.6,2.0,67.9,Part C," 40,61,111.00 "," 19,93,704.00 "," 36,86,504.44 ", -   ," 94,528.00 "," 98,35,847.44 "," 48,48,179.12 "," 10,27,955.60 "," 33,97,359.59 ", -   ," 4,48,790.10 "," 2,729.00 "," 1,10,834.02 "," 98,35,847.44 "," 92,16,909.44 "," 6,18,938.00 "," 98,35,847.44 "," 21,434.67 "," 1,439.39 "," 28,69,819.81 "," 1,27,05,667.25 "," 29,548.06 ", Part D ,Yes,Yes, 14.00 , -   , 37.00 , - , 51 ," 1,10,000 "," 9,17,956 ", -   ," 10,27,955.60 ", 1.0 ," 4,12,666.46 "," 31,733.30 ", -   , -   ," 1,58,666.50 "," 95,199.90 "," 6,98,266.16 "," 1,89,463.00 "," 1,91,470.16 "," 3,17,333.00 ", Part E ,"48,09,023.00 "," 52,93,910.00 ","(4,84,887.00)",90.8407%," 98,35,847.44 ",48.8928%," 50,26,824.44 "
2017-18,New York City,310400010112,P.S. 112 Jose Celso Barbosa,M112,Elementary School,Part B,K,2,Yes,,No,,280,29,0,221,62,108,10.5,49.0,10.9,2.0,7.1,3.0,82.5,Part C," 51,89,097.00 "," 23,21,599.00 "," 45,72,924.87 ", -   ," 2,48,162.00 "," 1,23,31,782.87 "," 32,20,057.35 "," 7,39,625.36 "," 78,77,855.08 ", -   ," 4,92,501.09 "," 1,744.00 ", -   ," 1,23,31,782.87 "," 1,17,22,042.87 "," 6,09,740.00 "," 1,23,31,782.87 "," 36,861.77 "," 1,917.42 "," 21,22,331.86 "," 1,44,54,114.74 "," 45,453.19 ", Part D ,Yes,No, 30.00 , -   , 13.00 , - , 43 ," 2,60,000 "," 4,79,625 ", -   ," 7,39,625.36 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,"32,93,191.00 "," 36,08,954.00 ","(3,15,763.00)",91.2506%," 1,23,31,782.87 ",26.7049%," 90,38,591.87 "
2017-18,New York City,310400010146,P.S. 146 Ann M. Short,M146,Elementary School,Part B,K,5,Yes,,No,,304,29,1,295,67,115,8.0,27.0,28.0,2.0,7.8,3.0,75.8,Part C," 31,34,999.00 "," 26,97,769.00 "," 35,51,310.01 ", -   ," 1,78,949.00 "," 95,63,027.01 "," 34,17,910.69 "," 9,57,068.55 "," 46,62,532.26 "," 17,723.49 "," 4,86,591.76 "," 1,894.00 "," 19,306.26 "," 95,63,027.01 "," 87,14,431.01 "," 8,48,596.00 "," 95,63,027.01 "," 24,827.44 "," 2,417.65 "," 23,42,573.85 "," 1,19,05,600.86 "," 33,919.09 ", Part D ,Yes,No, 29.00 , -   , 25.00 , - , 54 ," 2,80,000 "," 6,77,069 ", -   ," 9,57,068.55 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,"39,70,127.00 "," 43,59,144.00 ","(3,89,017.00)",91.0758%," 95,63,027.01 ",41.5154%," 55,92,900.01 "
2017-18,New York City,310400010155,P.S. 155 William Paca,M155,Elementary School,Part B,K,5,Yes,,No,,248,10,2,244,107,76,7.0,18.0,11.5,2.0,2.9,3.0,44.4,Part C," 19,29,136.00 "," 18,19,353.00 "," 22,82,286.30 ", -   ," 70,024.00 "," 61,00,799.30 "," 28,85,622.08 "," 4,38,749.89 "," 19,22,482.51 "," 54,843.74 "," 6,65,248.67 "," 1,545.00 "," 1,32,307.41 "," 61,00,799.30 "," 55,62,548.30 "," 5,38,251.00 "," 61,00,799.30 "," 22,611.98 "," 2,188.01 "," 16,41,803.89 "," 77,42,603.19 "," 31,474.00 ", Part D ,Yes,No, 11.00 , -   , 13.00 , - , 24 ," 1,10,000 "," 3,28,750 ", -   ," 4,38,749.89 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,"28,59,340.00 "," 31,41,025.00 ","(2,81,685.00)",91.0321%," 61,00,799.30 ",46.8683%," 32,41,459.30 "
2017-18,New York City,310400010171,P.S. 171 Patrick Henry,M171,K-8 School,Part B,K,8,Yes,,No,,689,33,3,481,24,152,11.0,38.0,14.6,3.7,4.9,4.0,76.2,Part C," 48,45,050.00 "," 18,78,834.00 "," 40,93,870.45 ", -   ," 1,00,135.00 "," 1,09,17,889.45 "," 69,54,712.71 "," 9,14,744.44 "," 19,95,008.46 "," 66,526.87 "," 7,81,979.15 "," 4,292.00 "," 2,00,625.83 "," 1,09,17,889.45 "," 1,02,34,315.45 "," 6,83,574.00 "," 1,09,17,889.45 "," 13,483.95 ", 900.62 ," 50,65,565.67 "," 1,59,83,455.12 "," 21,058.57 ", Part D ,Yes,No, 42.00 , -   , 13.00 , - , 55 ," 3,50,000 "," 5,64,744 ", -   ," 9,14,744.44 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,"69,21,790.00 "," 76,44,782.00 ","(7,22,992.00)",90.5427%," 1,09,17,889.45 ",63.3986%," 39,96,099.45 "
2017-18,New York City,310400010182,The Bilingual Bicultural School,M182,Elementary School,Part B,K,5,Yes,,No,,310,0,0,301,110,75,6.0,25.0,5.0,2.0,1.9,2.0,41.9,Part C," 30,24,679.00 "," 10,79,432.00 "," 24,98,808.54 ", -   ," 1,38,274.00 "," 67,41,193.54 "," 36,23,584.24 "," 5,23,351.14 "," 20,51,814.62 ", -   ," 4,45,215.23 "," 1,931.00 "," 95,297.31 "," 67,41,193.54 "," 63,87,270.54 "," 3,53,923.00 "," 67,41,193.54 "," 19,009.73 "," 1,053.34 "," 22,42,463.85 "," 89,83,657.39 "," 26,737.08 ", Part D ,Yes,No, 14.00 , -   , 13.00 , - , 27 ," 1,40,000 "," 3,83,351 ", -   ," 5,23,351.14 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,"40,55,616.00 "," 44,59,152.00 ","(4,03,536.00)",90.9504%," 67,41,193.54 ",60.1617%," 26,85,577.54 "
2017-18,New York City,310400010206,P.S. 206 Jose Celso Barbosa,M206,K-8 School,Part B,3,8,Yes,,No,,473,0,0,398,76,198,33.0,47.0,10.0,1.0,6.7,3.0,100.7,Part C," 66,43,430.00 "," 23,79,287.00 "," 54,93,526.43 ", -   ," 5,52,886.00 "," 1,50,69,129.43 "," 52,58,658.18 ", -   ," 90,00,446.53 ", -   ," 6,63,454.80 "," 2,941.00 "," 1,43,628.92 "," 1,50,69,129.43 "," 1,45,54,002.43 "," 5,15,127.00 "," 1,50,69,129.43 "," 30,447.70 "," 1,077.67 "," 31,90,171.79 "," 1,82,59,301.22 "," 38,199.37 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,"55,79,615.00 "," 61,64,576.00 ","(5,84,961.00)",90.5109%," 1,50,69,129.43 ",37.0268%," 94,89,514.43 "
2017-18,New York City,310400010224,M.S. 224 Manhattan East School for Arts & Academics,M224,Middle/Junior High School,Part B,6,8,Yes,,No,,172,0,0,125,13,48,3.5,13.0,4.0,2.0,1.0,1.0,24.5,Part C," 13,84,105.00 "," 7,41,752.00 "," 12,94,338.68 ", -   ," 62,139.00 "," 34,82,334.68 "," 23,23,479.13 ", -   ," 6,79,297.20 ", -   ," 4,68,292.64 "," 1,072.00 "," 10,193.71 "," 34,82,334.68 "," 32,79,410.68 "," 2,02,924.00 "," 34,82,334.68 "," 18,633.02 "," 1,152.98 "," 11,74,623.92 "," 46,56,958.60 "," 26,459.99 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,"23,59,503.00 "," 25,68,242.00 ","(2,08,739.00)",91.8723%," 34,82,334.68 ",67.7564%," 11,22,831.68 "
2017-18,New York City,310400010372,Esperanza Preparatory Academy,M372,Junior-Senior High School,Part B,6,12,Yes,,No,,559,0,0,506,166,143,20.0,32.0,26.2,3.0,4.9,6.0,92.1,Part C," 40,21,860.00 "," 29,53,486.00 "," 42,46,974.35 ", -   ," 2,34,796.00 "," 1,14,57,116.35 "," 68,76,704.71 ", -   ," 35,50,598.21 ", -   ," 7,03,212.83 "," 3,557.00 "," 3,23,043.61 "," 1,14,57,116.35 "," 1,06,53,067.35 "," 8,04,049.00 "," 1,14,57,116.35 "," 19,439.90 "," 1,467.24 "," 36,57,351.76 "," 1,51,14,468.11 "," 27,581.15 ", Part D ,No,Yes, -   , -   , -   , - , - , - , - , -   , -   , 1.0 ," 25,329.50 "," 25,329.50 ", -   , -   ," 1,26,647.50 "," 75,988.50 "," 2,53,295.00 ", -   , -   ," 2,53,295.00 ", Part E ,"80,70,814.00 "," 82,34,076.00 ","(1,63,262.00)",98.0172%," 1,14,57,116.35 ",70.4437%," 33,86,302.35 "
2017-18,New York City,310400010375,Mosaic Preparatory Academy,M375,Elementary School,Part B,K,5,Yes,,No,,297,36,0,277,31,109,6.0,27.0,15.2,2.0,3.9,3.0,57.1,Part C," 23,77,866.00 "," 18,70,694.00 "," 25,86,757.03 ", -   ," 48,517.00 "," 68,83,834.03 "," 27,05,689.34 "," 7,37,160.18 "," 27,31,406.24 ", -   ," 5,45,409.89 "," 1,925.00 "," 1,62,243.37 "," 68,83,834.03 "," 63,95,652.03 "," 4,88,182.00 "," 68,83,834.03 "," 20,112.11 "," 1,535.16 "," 21,22,331.86 "," 90,06,165.89 "," 28,321.28 ", Part D ,Yes,No, 30.00 , -   , 13.00 , - , 43 ," 3,00,000 "," 4,37,160 ", -   ," 7,37,160.18 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,"36,99,562.00 "," 40,08,862.00 ","(3,09,300.00)",92.2846%," 68,83,834.03 ",53.7428%," 31,84,272.03 "
2017-18,New York City,310400010377,Renaissance School of the Arts,M377,Middle/Junior High School,Part B,6,8,Yes,,No,,147,0,0,137,13,45,7.0,10.0,3.0,1.0,1.0,3.0,25.0,Part C," 12,74,479.00 "," 7,99,967.00 "," 12,63,036.84 ", -   ," 77,406.00 "," 34,14,888.84 "," 21,99,004.15 ", -   ," 7,97,893.94 ", -   ," 2,69,229.01 ", 916.00 ," 1,47,845.73 "," 34,14,888.84 "," 32,94,968.84 "," 1,19,920.00 "," 34,14,888.84 "," 20,987.06 ", 763.82 ," 10,47,817.93 "," 44,62,706.77 "," 28,424.88 ", Part D ,No,Yes, -   , -   , -   , - , - , - , - , -   , -   , 1.0 ," 3,41,942.92 "," 91,836.00 ", -   , -   ," 1,48,980.00 "," 89,388.00 "," 6,72,146.92 "," 3,34,303.00 "," 3,37,843.92 ", -   , Part E ,"24,72,480.00 "," 24,72,480.00 ",0.00 ,100.0000%," 34,14,888.84 ",72.4029%," 9,42,408.84 "
2017-18,New York City,310400010497,Central Park East I,M497,Elementary School,Part B,K,5,Yes,,No,,169,25,1,73,6,36,7.9,8.0,9.0,1.0,1.9,3.2,31.0,Part C," 14,79,952.00 "," 7,80,879.00 "," 13,76,518.28 ", -   ," 32,461.00 "," 36,69,810.28 "," 18,06,608.17 "," 4,33,683.75 "," 11,61,131.27 "," 14,954.61 "," 2,44,940.13 "," 1,053.00 "," 7,439.35 "," 36,69,810.28 "," 35,55,408.28 "," 1,14,402.00 "," 36,69,810.28 "," 18,712.68 ", 602.12 ," 12,68,059.92 "," 49,37,870.19 "," 25,988.79 ", Part D ,Yes,No, 29.00 , -   , -   , - , 29 ," 2,50,000 "," 1,83,684 ", -   ," 4,33,683.75 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,"19,22,374.00 "," 19,51,983.00 ","(29,609.00)",98.4831%," 36,69,810.28 ",52.3835%," 17,47,436.28 "
2017-18,New York City,310400010825,Isaac Newton Middle School for Math & Science,M825,Middle/Junior High School,Part B,6,8,Yes,,No,,192,0,0,175,23,60,1.0,16.0,2.0,2.0,2.0,2.0,25.0,Part C," 17,45,351.00 "," 8,42,164.00 "," 15,75,421.47 ", -   ," 32,147.00 "," 41,95,083.47 "," 29,38,817.07 ", -   ," 6,26,996.54 ", -   ," 4,50,598.46 "," 1,234.00 "," 1,77,437.40 "," 41,95,083.47 "," 38,76,154.47 "," 3,18,929.00 "," 41,95,083.47 "," 17,780.53 "," 1,462.98 "," 14,54,931.91 "," 56,50,015.37 "," 25,917.50 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,"31,30,479.00 "," 34,26,811.00 ","(2,96,332.00)",91.3525%," 41,95,083.47 ",74.6226%," 10,64,604.47 "
2017-18,New York City,310400010964,Central Park East II,M964,K-8 School,Part B,K,8,Yes,,No,,430,18,0,184,2,97,12.2,24.7,22.1,2.0,2.8,2.0,65.8,Part C," 33,04,681.00 "," 17,96,882.00 "," 31,06,112.18 ", -   ," 82,093.00 "," 82,89,768.18 "," 36,17,830.53 "," 4,65,433.13 "," 36,75,268.38 ", -   ," 4,78,491.18 "," 2,679.00 "," 50,065.96 "," 82,89,768.18 "," 79,02,628.18 "," 3,87,140.00 "," 82,89,768.18 "," 16,429.58 ", 804.86 ," 32,10,193.79 "," 1,14,99,961.97 "," 23,908.44 ", Part D ,Yes,Yes, 14.00 , -   , 13.00 , - , 27 ," 1,40,000 "," 3,25,433 ", -   ," 4,65,433.13 ", 1.0 ," 37,554.80 "," 67,554.80 ", -   , -   ," 1,87,774.00 "," 1,12,664.40 "," 4,05,548.00 "," 2,01,706.00 "," 2,03,842.00 ", -   , Part E ,"54,42,643.00 "," 54,25,355.00 ","17,288.00 ",100.3187%," 82,89,768.18 ",65.6549%," 28,47,125.18 "
2017-18,New York City,310400011435,Manhattan Center for Science and Mathematics,M435,Senior High School,Part B,9,12,Yes,,No,,"1,625",0,0,"1,377",111,197,32.0,50.0,16.4,8.0,6.0,7.0,119.4,Part C," 73,62,010.00 "," 34,95,477.00 "," 66,10,635.33 ", -   ," 13,25,071.00 "," 1,87,93,193.33 "," 1,41,50,956.53 ", -   ," 20,24,892.04 ", -   ," 20,04,327.66 "," 10,118.00 "," 6,02,899.11 "," 1,87,93,193.33 "," 1,76,77,650.33 "," 11,15,543.00 "," 1,87,93,193.33 "," 10,694.28 ", 674.86 ," 1,10,32,121.28 "," 2,98,25,314.62 "," 18,043.14 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,"1,57,98,887.00 "," 1,75,19,568.00 ","(17,20,681.00)",90.1785%," 1,87,93,193.33 ",84.0671%," 29,94,306.33 "
2017-18,New York City,310400011495,Park East High School,M495,Senior High School,Part B,9,12,Yes,,No,,406,0,0,340,12,61,6.0,24.0,2.0,3.0,2.0,3.0,40.0,Part C," 27,09,652.00 "," 10,34,480.00 "," 22,79,633.52 ", -   ," 71,306.00 "," 60,95,071.52 "," 47,68,128.99 ", -   ," 3,55,574.65 ", -   ," 7,08,290.37 "," 2,517.00 "," 2,60,560.50 "," 60,95,071.52 "," 58,36,789.52 "," 2,58,282.00 "," 60,95,071.52 "," 14,555.58 ", 644.09 ," 26,76,273.83 "," 87,71,345.34 "," 21,873.68 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,"42,55,043.00 "," 46,70,938.00 ","(4,15,895.00)",91.0961%," 60,95,071.52 ",69.8112%," 18,40,028.52 "
2017-18,New York City,310400011555,Central Park East High School,M555,Senior High School,Part B,9,12,Yes,,No,,496,0,0,411,12,77,6.0,26.0,8.2,3.0,5.9,2.0,51.1,Part C," 24,97,046.00 "," 18,26,284.00 "," 26,32,281.12 ", -   ," 3,39,507.00 "," 72,95,118.12 "," 47,36,234.84 ", -   ," 14,38,375.90 ", -   ," 6,95,102.59 "," 3,090.00 "," 4,22,314.79 "," 72,95,118.12 "," 68,23,196.12 "," 4,71,922.00 "," 72,95,118.12 "," 13,646.39 ", 943.84 ," 33,36,999.78 "," 1,06,32,117.90 "," 21,264.24 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,"51,94,098.00 "," 56,66,976.00 ","(4,72,878.00)",91.6555%," 72,95,118.12 ",71.1996%," 21,01,020.12 "
2017-18,New York City,310400011610,Young Women's Leadership School,M610,Junior-Senior High School,Part B,6,12,Yes,,No,,481,0,0,384,13,100,7.0,25.0,3.0,3.0,1.0,4.0,43.0,Part C," 26,38,783.00 "," 10,90,076.00 "," 22,70,334.48 ", -   ," 78,292.00 "," 60,77,485.48 "," 44,37,078.47 ", -   ," 8,17,370.74 ", -   ," 6,88,042.93 "," 2,990.00 "," 1,32,003.34 "," 60,77,485.48 "," 57,91,168.48 "," 2,86,317.00 "," 60,77,485.48 "," 12,243.49 ", 605.32 ," 31,56,801.79 "," 92,34,287.27 "," 19,522.81 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,"47,83,996.00 "," 52,60,603.00 ","(4,76,607.00)",90.9401%," 60,77,485.48 ",78.7167%," 12,93,489.48 "
2017-18,New York City,310400011680,"Heritage School, The",M680,Senior High School,Part B,9,12,Yes,,No,,294,0,0,271,30,65,2.0,20.0,3.0,3.0,3.0,5.2,36.2,Part C," 18,39,464.00 "," 9,97,988.00 "," 17,27,596.86 ", -   ," 64,036.00 "," 46,29,084.86 "," 35,77,066.88 ", -   ," 1,21,661.62 ", -   ," 6,91,876.83 "," 1,788.00 "," 2,36,691.53 "," 46,29,084.86 "," 43,85,730.86 "," 2,43,354.00 "," 46,29,084.86 "," 15,607.58 ", 866.03 ," 18,75,393.88 "," 65,04,478.74 "," 23,147.61 ", Part D ,No,Yes, -   , -   , -   , - , - , - , - , -   , -   , 1.0 ," 1,48,549.66 "," 16,666.70 ", -   , -   ," 83,333.50 "," 50,000.10 "," 2,98,549.96 "," 1,48,489.00 "," 1,50,060.96 ", -   , Part E ,"37,71,060.00 "," 41,31,365.00 ","(3,60,305.00)",91.2788%," 46,29,084.86 ",81.4645%," 8,58,024.86 "
2017-18,New York City,310500010030,P.S. 030 Hernandez/Hughes,M030,Elementary School,Part B,K,5,Yes,,No,,236,14,2,223,30,74,15.0,24.0,14.7,2.0,5.9,4.0,65.6,Part C," 32,76,414.00 "," 19,54,775.00 "," 31,85,035.62 ", -   ," 60,357.00 "," 84,76,581.62 "," 41,40,855.43 "," 9,72,717.63 "," 25,16,617.66 ", -   ," 4,49,605.79 "," 1,520.00 "," 3,95,265.11 "," 84,76,581.62 "," 80,40,676.62 "," 4,35,905.00 "," 84,76,581.62 "," 29,670.39 "," 1,608.51 "," 18,08,653.88 "," 1,02,85,235.50 "," 37,952.90 ", Part D ,Yes,Yes, 30.00 , -   , 13.00 , - , 43 ," 1,30,000 "," 8,42,718 ", -   ," 9,72,717.63 ", 1.0 ," 36,000.00 "," 36,000.00 ", -   , -   ," 1,80,000.00 "," 1,08,000.00 "," 3,60,000.00 "," 1,79,052.00 "," 1,80,948.00 ", -   , Part E ,"49,73,936.00 "," 31,66,453.00 ","18,07,483.00 ",157.0823%," 84,76,581.62 ",58.6786%," 35,02,645.62 "
2017-18,New York City,310500010036,P.S. 036 Margaret Douglas,M036,Elementary School,Part B,K,5,Yes,,No,,350,39,2,307,38,122,5.0,36.0,25.8,2.0,2.9,3.0,74.7,Part C," 38,06,241.00 "," 23,38,092.00 "," 37,41,007.92 ", -   ," 66,430.00 "," 99,51,770.92 "," 40,39,722.04 "," 14,07,096.19 "," 38,58,597.31 "," 62,077.77 "," 4,86,591.76 "," 2,181.00 "," 95,504.85 "," 99,51,770.92 "," 94,53,077.92 "," 4,98,693.00 "," 99,51,770.92 "," 23,226.24 "," 1,225.29 "," 27,16,317.82 "," 1,26,68,088.74 "," 31,125.53 ", Part D ,Yes,Yes, 43.00 , -   , 25.00 , - , 68 ," 4,10,000 "," 9,97,096 ", -   ," 14,07,096.19 ", 1.0 ," 16,666.70 "," 16,666.70 ", -   , -   ," 83,333.50 "," 50,000.10 "," 1,66,667.00 "," 82,895.00 "," 83,772.00 ", -   , Part E ,"42,51,063.00 "," 46,63,087.00 ","(4,12,024.00)",91.1641%," 99,51,770.92 ",42.7166%," 57,00,707.92 "
2017-18,New York City,310500010046,P.S. 046 Arthur Tappan,M046,K-8 School,Part B,K,8,Yes,,No,,626,33,2,593,69,195,20.0,40.0,15.3,3.0,5.0,5.0,88.3,Part C," 44,45,540.00 "," 23,84,769.00 "," 41,58,667.84 ", -   ," 3,07,450.00 "," 1,12,96,426.84 "," 57,12,865.76 "," 7,08,097.99 "," 40,62,359.65 "," 34,541.37 "," 6,90,200.41 "," 3,900.00 "," 84,461.67 "," 1,12,96,426.84 "," 1,03,60,936.84 "," 9,35,490.00 "," 1,12,96,426.84 "," 16,957.34 "," 1,531.08 "," 40,77,813.73 "," 1,53,74,240.58 "," 25,162.42 ", Part D ,Yes,Yes, 28.00 , -   , 13.00 , - , 41 ," 2,80,000 "," 4,28,098 ", -   ," 7,08,097.99 ", 1.0 ," 3,53,559.24 "," 38,346.00 ", -   , -   ," 1,91,730.00 "," 1,15,038.00 "," 6,98,673.24 "," 1,56,776.00 "," 1,58,437.24 "," 3,83,460.00 ", Part E ,"64,67,709.00 "," 71,49,910.00 ","(6,82,201.00)",90.4586%," 1,12,96,426.84 ",57.2545%," 48,28,717.84 "
2017-18,New York City,310500010092,P.S. 092 Mary McLeod Bethune,M092,Elementary School,Part B,K,5,Yes,,No,,247,18,0,243,21,88,6.6,20.0,15.7,3.0,2.9,6.0,54.2,Part C," 22,34,537.00 "," 18,78,609.00 "," 25,04,309.54 ", -   ," 35,387.00 "," 66,52,842.54 "," 30,14,021.27 "," 2,39,102.16 "," 26,59,126.82 ", -   ," 7,39,053.29 "," 1,539.00 ", -   ," 66,52,842.54 "," 62,04,780.54 "," 4,48,062.00 "," 66,52,842.54 "," 26,180.51 "," 1,890.56 "," 15,81,737.90 "," 82,34,580.44 "," 34,745.07 ", Part D ,Yes,No, 14.00 , -   , -   , - , 14 ," 1,40,000 "," 99,102 ", -   ," 2,39,102.16 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,"40,61,342.00 "," 31,91,642.00 ","8,69,700.00 ",127.2493%," 66,52,842.54 ",61.0467%," 25,91,500.54 "
2017-18,New York City,310500010123,P.S. 123 Mahalia Jackson,M123,K-8 School,Part B,K,8,Yes,,No,,443,34,2,424,94,117,22.0,24.0,13.3,3.0,5.7,4.7,72.7,Part C," 39,51,176.00 "," 23,21,476.00 "," 38,19,135.58 ", -   ," 2,29,278.00 "," 1,03,21,065.58 "," 59,03,121.92 "," 6,68,620.48 "," 29,85,301.94 "," 32,615.63 "," 6,84,921.75 "," 2,760.00 "," 43,723.85 "," 1,03,21,065.58 "," 94,74,751.58 "," 8,46,314.00 "," 1,03,21,065.58 "," 20,642.16 "," 1,843.82 "," 30,63,365.80 "," 1,33,84,431.38 "," 29,159.98 ", Part D ,Yes,Yes, 28.00 , -   , 13.00 , - , 41 ," 2,80,000 "," 3,88,620 ", -   ," 6,68,620.48 ", 1.0 ," 11,38,024.34 "," 1,76,381.20 ", -   , -   ," 2,31,906.00 "," 1,39,143.60 "," 16,85,455.14 "," 8,38,288.00 "," 8,47,167.14 ", -   , Part E ,"56,27,443.00 "," 56,27,443.00 ",0.00 ,100.0000%," 1,03,21,065.58 ",54.5239%," 46,93,622.58 "
